Tanggal,No Jurnal,Ref,Keterangan,Total Debit,Total Kredit,Catatan Koreksi
2026-04-26,JU-024,CF-024,Pembuatan & penempelan poster (CF-024),1237500,1237500,Converted from OPS CASHFLOW row 28. Biaya marketing: Dr Biaya Marketing / Cr Kas.
2026-04-27,JU-025,CF-025,Gadai motor (CF-025),2500000,2500000,Converted from OPS CASHFLOW row 29. Pencairan pokok deal: Dr Piutang Customer JS / Cr Kas. Fee tidak dimasukkan ke piutang karena bunga dibayar di depan.
2026-04-28,JU-026,CF-026,Bunga gadai (CF-026),357000,357000,Converted from OPS CASHFLOW row 30. Bunga/fee diterima di depan: Dr Kas / Cr Pendapatan Fee JS.
2026-04-29,JU-027,CF-027,Gadai motor (CF-027),2223000,2223000,Converted from OPS CASHFLOW row 31. Pencairan pokok deal: Dr Piutang Customer JS / Cr Kas. Fee tidak dimasukkan ke piutang karena bunga dibayar di depan.
2026-04-30,JU-028,CF-028,Bunga gadai (CF-028),222300,222300,Converted from OPS CASHFLOW row 32. Bunga/fee diterima di depan: Dr Kas / Cr Pendapatan Fee JS.
2026-05-01,JU-029,CF-029,Bayar listrik perusahaan (CF-029),504100,504100,Converted from OPS CASHFLOW row 33. Biaya operasional rutin: Dr Biaya Operasional / Cr Kas.
2026-05-02,JU-030,CF-030,Biaya makan (CF-030),320000,320000,"Biaya makan May, tetap memakai CF-030 sebagai ref unik."
2026-05-06,JU-031,CF-034,Biaya Print + Materai (CF-034),60000,60000,Ref dikoreksi dari duplicate CF-030 ke CF-034 agar setiap transaksi unik. Dr Biaya Operasional / Cr Kas.
2026-05-06,JU-032,CF-031,Gadai motor (CF-031),6000000,6000000,Converted from OPS CASHFLOW row 43. Pencairan pokok deal: Dr Piutang Customer JS / Cr Kas. Fee tidak dimasukkan ke piutang karena bunga dibayar di depan.
2026-05-06,JU-033,CF-032,Bunga gadai (CF-032),900000,900000,Converted from OPS CASHFLOW row 44. Bunga/fee diterima di depan: Dr Kas / Cr Pendapatan Fee JS.
2026-05-06,JU-035,CF-035,Print Poster 1500 (CF-035),840000,840000,"Print Poster 1500 Rp840.000 dipetakan ke Beban Marketing, bukan Operasional."
2026-05-06,JU-036,CF-036,Print dan Keperluan print — split aset & beban (CF-036),1441531,1441531,"Transaksi cashflow Rp1,428,856 dipecah: Printer Rp1,123,664 ke Aset Tetap; Materai Rp200,000, HVS Rp58,706, Tinta Rp59,161 ke Beban Operasional. Selisih breakdown Rp12,675 dikreditkan sebagai koreksi beban supaya kas tetap cocok dengan saldo running Cashflow."
2026-05-11,JU-034,CF-033,Bunga gadai (CF-033),223000,223000,Converted from OPS CASHFLOW row 45. Bunga/fee diterima di depan: Dr Kas / Cr Pendapatan Fee JS.
2026-05-31,JU-037,ADJ-2026-05-SEWA,Amortisasi sewa ruko bulan Mei 2026,2416667,2416667,Penyesuaian akrual: Sewa Ruko Setahun Rp29.000.000 diamortisasi 12 bulan. Tidak mempengaruhi Kas.
